index,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
151888,2019/03/23 03:06,3586010000000000.0,"fraud_Ferry, Lynch and Kautzer",misc_net,1.24,Crystal,Fuller,F,000 Jennifer Mills,Issaquah,WA,98027,47.4974,-122.0107,50489,Osteopath,1984/02/29,ff66e2310bf7a2a05e65d6b0a363aa5b,1332471978,47.352172,-121.64408,0
1185025,2020/05/10 11:28,4671730000000000.0,fraud_Bogisich Inc,grocery_pos,112.57,Kenneth,Edwards,M,3653 Ryan Crossroad,Andrews,IN,46702,40.8618,-85.6067,2304,Retail banker,1955/07/25,f1edcfa2102065f5f76375c2d20b9081,1368185292,40.265726,-85.91405,0
10818,2019/01/07 13:31,377993000000000.0,fraud_Mohr-Bayer,shopping_net,6.69,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975/09/11,0caa0ca338d1d2903b92bb42d8905768,1325943086,44.512954,-88.693464,0
975275,2020/01/30 18:49,4.71083e+18,fraud_Langworth LLC,personal_care,100.69,Juan,Henry,M,9795 Lori Island Suite 346,Turner,MT,59542,48.8328,-108.3961,192,Further education lecturer,1964/01/04,c7d25a5388311ebd7f2eef77459376ac,1359571786,47.909634,-109.008657,0
346814,2019/06/12 03:04,372382000000000.0,fraud_Hills-Witting,shopping_net,7.8,Brent,Terrell,M,502 Rice Plaza Apt. 979,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,1966/01/21,8e1306b47052ac10fe48512de79edf71,1339470288,41.534838,-74.449927,0
74446,2019/02/13 04:09,3529600000000000.0,"fraud_Eichmann, Bogan and Rodriguez",gas_transport,71.23,Pamela,Curtis,F,8969 Fuentes Station Apt. 291,Mill Creek,PA,17060,40.4679,-77.8967,1334,Archaeologist,1986/12/17,1c3f7db4310986aaf21176e9d87ca8bc,1329106167,41.248622,-77.511456,0
361658,2019/06/17 06:36,4.64685e+18,"fraud_Kerluke, Considine and Macejkovic",misc_net,184.77,Julia,Bell,F,576 House Crossroad,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990/06/25,efb9f79d779ded8851b25ec260ed8f04,1339915000,40.995128,-72.156613,0
557547,2019/08/25 21:15,630469000000.0,fraud_Effertz LLC,entertainment,19.04,Meredith,Ayala,F,7107 Henderson Station,Cascade Locks,OR,97014,45.671,-121.8686,1288,Barrister,1936/05/01,67b42fbbf21b3bc4019efd10d0c17ace,1345929300,45.217483,-122.617723,0
586979,2019/09/06 11:27,213126000000000.0,fraud_Cummings LLC,gas_transport,47.66,Adam,Kirk,M,40847 Stark Junctions,Big Indian,NY,12410,42.074,-74.453,397,Psychiatrist,1931/09/12,72f77b61178ce420fd7db555cbb73450,1346930827,43.019068,-73.876839,0
238768,2019/04/29 17:08,30541100000000.0,"fraud_Hettinger, McCullough and Fay",home,49.14,Derrick,George,M,575 Chapman Union,Spring,TX,77379,30.0377,-95.5326,316665,"Education officer, museum",1990/09/12,2c0f45f576a11e18a60aa3889467e826,1335719325,30.874205,-96.519524,0
124823,2019/03/10 16:42,213200000000000.0,fraud_Daugherty-Thompson,food_dining,10.24,Christopher,Miller,M,493 Fitzgerald Fields Suite 454,Varnell,GA,30756,34.9298,-84.9885,74,Pensions consultant,1944/05/14,a0d7a81a9874de472eaf7f2dc17dc5d8,1331397728,33.938045,-85.444187,0
1078308,2020/03/23 21:04,4862290000000.0,"fraud_Medhurst, Cartwright and Ebert",personal_care,34.15,Elizabeth,Payne,F,897 Daugherty Mission,Grassflat,PA,16839,41.0036,-78.1104,489,Pension scheme manager,1956/09/15,5ff1744bbc41592425a0e78c29afe65d,1364072665,40.804646,-78.264524,0
910366,2019/12/29 04:03,3546900000000000.0,"fraud_Reichert, Shanahan and Hayes",shopping_net,59.62,Kayla,Obrien,F,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.6591,-96.8094,263,Barrister,1956/05/30,b0e6e23559789dcb5859387f170a440f,1356753809,31.333926,-96.186136,0
296280,2019/05/25 15:51,4809700000000.0,fraud_Berge-Hills,kids_pets,29.77,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,1984/02/07,04565e01caf5bdfaa8486dec2a03dd6e,1337961093,31.455985,-84.2929,0
691570,2019/10/21 19:19,36722700000000.0,fraud_Lynch-Mohr,travel,1.62,Jessica,Perez,F,8172 Robertson Parkways Suite 072,Superior,AZ,85173,33.2887,-111.0985,2872,Petroleum engineer,1987/10/28,5f3c14658a7a6a8115500fbf113df146,1350847189,33.372888,-110.298256,0
715297,2019/11/02 00:34,4981130000000.0,"fraud_Connelly, Reichert and Fritsch",gas_transport,55.3,Joseph,Spencer,M,7854 Stephanie Island Suite 788,Holloway,OH,43985,40.0113,-80.9701,128,Child psychotherapist,1946/04/03,965d29452cd4b59dabc27617e24aad39,1351816452,40.327608,-81.284522,0
502680,2019/08/06 01:03,4952580000000000.0,fraud_Douglas-White,entertainment,339.04,Patricia,Rodriguez,F,386 Randolph Throughway,Warren,OH,44483,41.2639,-80.8164,75903,Magazine features editor,1957/04/05,bd4d4dd27813dcdd62983f73e3ca854a,1344215021,40.46766,-80.337492,0
597301,2019/09/10 07:01,342320000000000.0,fraud_Wolf Inc,grocery_pos,131.55,Bryan,Pugh,M,6366 French Field,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1978/05/23,b158027759bba66693b4db78866c8eac,1347260503,42.056779,-75.464792,0
142467,2019/03/18 08:08,4822370000000000.0,fraud_Kerluke PLC,misc_net,8.63,Christopher,Farrell,M,97070 Anderson Land,Haines City,FL,33844,28.0758,-81.5929,33804,Exercise physiologist,1991/01/01,40bb9cf2fba129828ff3d35d2b220111,1332058092,27.163081,-82.376209,0
141822,2019/03/18 01:26,30150700000000.0,"fraud_Christiansen, Goyette and Schamberger",gas_transport,64.99,Raymond,Lloyd,M,5930 Rebecca Bridge Apt. 444,Paint Rock,AL,35764,34.7031,-86.3068,653,Paediatric nurse,1966/06/19,877ad6da8209b2e8428ca8cdff3b662f,1332034016,34.721406,-85.356039,0
44284,2019/01/27 12:39,4.0891e+18,fraud_Pollich LLC,home,133.09,Debra,Stark,F,686 Linda Rest,Kilgore,TX,75662,32.3836,-94.8653,24536,Multimedia programmer,1983/10/14,474a4dbdc2d952b954a64d2756466665,1327667996,33.345866,-94.692419,0
215513,2019/04/20 06:34,6011150000000000.0,fraud_Herman Inc,misc_pos,113.85,Terri,Bailey,F,508 Erin Mount,Daly City,CA,94015,37.6787,-122.478,107941,"Buyer, industrial",1991/10/04,96bcf39f890e49d580889020c65e84ec,1334903650,38.069274,-122.043423,0
640173,2019/09/29 15:38,6011360000000000.0,"fraud_Durgan, Gislason and Spencer",home,70.48,Steven,Williams,M,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",1947/08/21,95cec5c5778e0e05b0101cca80e53848,1348933103,38.775608,-79.384168,0
923619,2019/12/31 15:47,4010000000000000.0,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,9.52,Jennifer,Bishop,F,589 Matthew Brooks,Houston,TX,77026,29.7972,-95.3288,2906700,Animator,1983/08/24,2132a7ecdd6f86275b545ae04983026f,1356968839,30.519343,-95.978629,0
468860,2019/07/25 22:05,5154900000000000.0,fraud_Barrows PLC,shopping_pos,124.87,Felicia,Combs,F,825 Martinez Springs Apt. 625,White Sulphur Springs,WV,24986,37.7827,-80.3129,5216,Community development worker,1993/10/05,8915791740cecb7168ee06630c39d4d6,1343253917,38.497604,-79.904052,0
719345,2019/11/03 13:02,6011370000000000.0,fraud_Dare-Marvin,entertainment,5.54,Adam,Stark,M,0912 Mark Fields Apt. 080,Mc Veytown,PA,17051,40.5046,-77.7186,4653,Nutritional therapist,1997/07/01,9429c44c2b3ca1f4ae36ca1a83784252,1351947752,41.02099,-78.333532,0
1101652,2020/04/03 12:33,30273000000000.0,fraud_Kilback and Sons,entertainment,68.3,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000/06/13,012a86f3df76dac6017d98f4c420795b,1364992415,36.568785,-91.286196,0
